통계표,"4.1.1 시장금리(일별)"
항목명1,"  콜금리(1일, 전체거래)"
단위,"연%"
변환,"원자료"
2018/10/01,""
2018/10/02,""
2018/10/03,""
2018/10/04,""
2018/10/05,""
2018/10/06,""
2018/10/07,""
2018/10/08,""
2018/10/09,""
2018/10/10,""
2018/10/11,""
2018/10/12,""
2018/10/13,""
2018/10/14,""
2018/10/15,""
2018/10/16,""
2018/10/17,""
2018/10/18,""
2018/10/19,""
2018/10/20,""
2018/10/21,""
2018/10/22,""
2018/10/23,""
2018/10/24,""
2018/10/25,""
2018/10/26,""
2018/10/27,""
2018/10/28,""
2018/10/29,""
2018/10/30,""
2018/10/31,""
2018/11/01,""
2018/11/02,""
2018/11/03,""
2018/11/04,""
2018/11/05,""
2018/11/06,""
2018/11/07,""
2018/11/08,""
2018/11/09,""
2018/11/10,""
2018/11/11,""
2018/11/12,""
2018/11/13,""
2018/11/14,""
2018/11/15,""
2018/11/16,""
2018/11/17,""
2018/11/18,""
2018/11/19,""
2018/11/20,""
2018/11/21,""
2018/11/22,""
2018/11/23,""
2018/11/24,""
2018/11/25,""
2018/11/26,""
2018/11/27,""
2018/11/28,""
2018/11/29,""
2018/11/30,""
2018/12/01,""
